idno,country,polnews,internet,trust1,trust2,trust3,polint,trustparl,trustlegal,trustpolice,trustpols,trustparties,trusteuparl,trustun,leftright,satlife,satecon,satgov,equality,happy,unsafe,badhealth,natattach,eurattach,relig,religatt,prayer,becomeold,gender,age,marital,domicile,education,working
27,es,30,,8,8,7,4,1,1,8,0,0,2,2,7,9,0,0,2,8,3,2,9,10,0,6,6,70,1,65,,1,13,0
76,es,180,60,9,9,9,1,7,9,9,6,6,9,9,0,4,4,8,1,9,4,2,9,9,2,7,7,70,1,65,,3,10,0
182,es,60,720,6,6,4,2,1,5,7,0,0,3,3,,8,4,1,4,8,1,2,7,8,1,7,7,65,1,42,,3,19,1
234,es,120,300,8,7,2,1,6,2,3,5,5,5,5,0,8,4,5,1,10,4,3,3,8,5,7,1,70,2,40,,1,13,1
246,es,30,,5,6,7,4,4,5,6,2,2,,,3,9,6,4,2,8,2,2,7,4,6,6,5,60,2,71,5,4,8,0
254,es,0,,6,,,4,,,,,,,,,7,2,,8,7,2,4,,,7,6,2,7,2,90,5,4,,0
382,es,30,5,1,1,1,1,0,0,4,0,0,1,4,4,7,3,1,3,8,2,2,2,2,4,7,5,65,1,35,1,4,8,1
395,es,90,,8,8,8,3,9,2,2,1,1,8,8,0,10,1,5,1,10,3,3,10,10,0,7,7,65,1,68,,3,6,0
419,es,98,90,9,8,7,3,2,7,8,2,2,,,5,8,3,,2,9,2,3,6,7,5,7,2,8,2,53,6,4,12,0
438,es,30,320,7,9,5,3,4,4,6,0,0,0,5,5,7,4,0,1,9,2,2,6,6,5,7,7,86,2,31,6,4,18,0
687,es,30,,5,6,6,2,,3,9,,,,,4,6,5,7,1,5,1,4,10,0,5,4,6,68,2,69,5,4,1,0
722,es,180,180,0,5,6,1,3,3,4,2,2,3,4,2,6,0,5,1,7,4,3,5,0,5,5,1,80,2,32,6,1,,0
782,es,120,,6,8,3,1,5,0,7,7,7,7,7,6,10,10,7,3,10,8,2,10,10,10,3,5,75,2,81,5,5,7,0
815,es,300,,2,4,1,2,5,5,7,3,5,6,5,5,7,3,1,2,7,1,2,10,10,5,4,4,75,1,46,,4,8,1
884,es,120,270,5,3,0,2,0,0,8,0,0,5,0,4,10,5,0,2,10,2,3,10,5,0,7,1,65,2,72,5,3,9,0
890,es,120,480,7,3,6,1,5,8,9,4,3,5,5,5,7,3,0,4,7,2,2,9,6,2,7,7,70,1,41,,3,25,1
912,es,60,180,6,6,4,1,4,6,8,4,4,5,4,5,8,5,4,2,7,1,2,9,6,2,6,7,60,1,50,4,2,22,1
976,es,60,330,5,5,3,4,6,10,10,6,8,8,8,6,9,7,4,1,9,2,3,7,7,9,3,1,60,2,33,,3,12,0
1037,es,120,60,6,7,4,2,4,0,9,2,2,6,7,2,7,0,3,1,8,1,2,9,5,0,7,7,0,1,67,6,4,17,0
1074,es,30,600,3,5,2,3,,10,10,0,0,,,3,10,3,2,2,10,4,2,9,5,8,3,5,70,1,32,6,2,12,0
1263,es,180,,3,5,1,3,1,5,8,1,1,1,3,3,0,5,8,1,1,2,3,3,3,0,7,7,70,1,56,6,4,8,0
1369,es,30,180,2,2,2,3,0,2,5,0,0,0,0,5,8,4,0,2,8,2,2,10,5,6,6,2,70,2,41,,4,15,1
1373,es,60,600,6,2,4,3,7,9,5,3,3,,,7,6,0,0,5,10,1,1,10,8,6,5,4,70,1,28,6,3,22,0
1406,es,60,300,7,7,6,1,5,4,6,3,3,6,7,3,8,6,6,2,7,3,2,3,1,0,7,7,65,2,18,6,3,12,0
1469,es,150,120,5,5,6,2,5,5,10,1,1,5,8,3,7,4,6,1,8,2,1,10,10,0,7,7,82,2,45,,3,14,1
1473,es,180,,5,7,3,4,2,3,9,0,0,,,5,6,3,0,1,8,3,4,10,4,5,7,7,70,2,68,,5,5,0
1539,es,180,300,2,7,8,2,1,2,5,2,2,2,2,3,8,1,1,1,8,1,2,9,5,6,5,4,75,1,59,,4,15,1
1564,es,30,,5,5,5,3,8,6,7,5,5,7,7,4,7,7,6,3,8,1,2,10,10,5,7,6,55,1,68,,4,8,0
1597,es,0,60,0,7,4,4,0,0,0,0,0,0,0,,10,0,0,4,10,3,3,5,5,9,4,2,60,2,36,6,4,23,1
1603,es,60,120,5,5,5,2,5,5,7,5,5,5,5,0,7,0,5,2,7,1,2,10,5,0,7,7,50,1,57,,3,10,0
1736,es,0,,8,7,3,1,10,7,10,5,5,9,,2,6,1,4,2,8,1,3,8,9,8,4,1,60,2,62,,3,11,1
1750,es,120,300,5,7,7,4,7,5,8,5,6,6,6,6,7,5,,8,8,3,2,10,5,9,2,1,78,2,39,6,4,27,1
1766,es,60,,5,7,7,4,1,6,7,1,1,,,3,9,2,8,2,4,1,3,7,8,5,5,1,60,2,90,5,1,5,0
1775,es,90,60,8,5,1,1,9,9,9,6,4,8,8,0,7,4,2,2,7,2,3,7,6,1,7,7,65,2,48,,2,13,1
1863,es,60,120,8,10,10,2,9,9,10,8,8,10,9,8,10,9,7,2,9,1,1,8,8,6,5,2,55,2,33,,3,15,0
1893,es,30,90,5,7,5,3,0,0,0,0,1,4,5,2,7,2,2,2,8,1,2,2,2,2,7,7,70,2,36,,4,15,0
1901,es,30,,5,0,0,2,6,2,6,0,0,4,5,4,5,3,2,1,8,4,2,10,10,6,6,1,65,1,58,,3,10,1
1903,es,180,20,3,2,3,2,2,4,8,1,1,5,5,5,10,6,1,3,10,2,2,8,8,4,5,3,65,1,46,,3,10,1
1942,es,360,240,5,5,6,3,7,6,7,6,7,,,,10,6,4,5,9,2,2,8,8,2,7,7,60,1,17,6,1,14,0
2103,es,20,240,6,2,7,4,0,4,9,4,3,1,6,3,8,1,2,2,10,1,1,10,7,0,7,7,60,2,43,,3,10,0
2127,es,120,540,5,5,3,1,8,9,10,8,9,9,9,8,9,5,6,2,9,1,1,9,9,7,5,2,55,1,24,6,3,17,1
2135,es,60,,2,5,1,3,2,5,8,1,1,5,,5,4,1,2,2,5,2,3,7,5,5,3,4,75,2,,,4,6,0
2138,es,60,,7,5,8,3,5,0,9,5,5,,,7,10,6,0,4,10,1,3,10,7,8,3,1,65,2,83,,4,9,0
2153,es,1,10,5,5,5,3,0,0,0,1,0,0,0,,5,0,0,1,5,2,2,5,,0,7,7,60,2,42,6,4,16,1
2237,es,60,120,7,7,7,2,6,4,7,4,4,4,4,4,8,5,6,2,8,1,2,7,8,6,3,2,70,2,44,,4,16,1
2266,es,0,60,5,4,5,4,4,6,7,3,3,5,3,,6,4,3,2,7,2,2,5,9,6,5,1,70,2,36,,4,12,0
2284,es,30,180,7,7,5,2,2,4,4,0,0,2,4,4,8,4,3,3,7,3,2,3,3,3,6,7,78,2,41,6,3,21,1
2353,es,,,7,8,2,4,5,5,7,2,2,5,6,2,5,3,2,2,5,2,3,10,7,10,3,1,55,2,90,,4,8,0
2380,es,0,,5,5,2,4,6,5,9,0,0,,,,5,1,2,1,6,1,4,8,6,5,6,6,80,2,84,5,4,5,0
2423,es,210,60,5,5,5,3,5,6,7,5,5,5,5,5,7,6,4,2,9,2,2,8,5,6,7,6,81,2,45,,3,9,1
2437,es,60,60,2,5,4,4,5,5,7,5,5,5,5,,8,7,,8,8,2,3,7,,5,6,1,65,2,45,3,1,12,1
2470,es,30,,0,0,1,4,5,5,6,2,2,0,,4,10,5,2,2,9,2,3,9,4,5,7,7,70,2,60,,4,7,0
2511,es,120,600,5,5,3,2,5,5,5,3,3,6,7,2,7,2,2,2,8,3,1,8,10,0,7,7,67,2,23,6,4,19,1
2538,es,300,,4,3,3,3,5,5,6,4,3,4,7,4,8,4,6,2,8,2,3,7,5,5,3,2,65,2,59,,4,8,0
2565,es,30,60,6,7,6,2,3,3,7,4,2,4,3,3,6,3,5,4,5,2,2,6,7,6,6,2,65,1,46,4,4,9,1
2580,es,30,30,5,5,5,3,8,8,8,5,5,,,6,2,2,0,2,8,1,2,10,10,5,7,6,70,1,62,,3,8,1
2588,es,60,60,2,2,5,4,5,5,7,1,1,5,6,6,9,1,1,3,10,3,2,10,7,3,7,2,68,2,53,,3,11,0
2606,es,120,60,7,10,8,2,0,0,9,0,0,5,8,6,10,2,0,1,10,1,3,10,7,9,3,2,70,1,72,,3,14,0
2692,es,45,,0,3,2,4,0,0,5,0,0,0,0,7,8,3,3,2,5,2,2,8,0,5,6,7,65,1,57,4,3,10,1
2696,es,0,300,5,4,5,4,2,3,8,1,1,5,5,5,7,3,3,2,7,2,2,6,5,4,4,2,80,2,39,4,4,13,1
2724,es,30,,6,8,5,4,5,5,5,0,0,0,0,5,10,5,3,2,10,3,3,6,6,5,4,1,65,2,42,,4,8,0
2727,es,30,290,7,6,10,2,5,6,6,3,3,4,6,4,7,5,5,2,7,2,2,8,6,0,7,7,45,1,32,,3,10,1
2736,es,0,240,5,5,4,3,2,4,7,0,0,4,7,5,10,2,5,1,9,1,2,6,6,4,7,7,60,1,16,6,5,10,0
2765,es,,,2,3,8,4,,,4,3,3,,,,6,,,8,6,2,3,8,,10,7,1,8,2,90,5,4,,0
2784,es,15,15,5,5,3,2,4,,6,3,3,4,,5,8,,2,2,7,2,2,7,5,6,6,7,70,1,50,,4,,1
2857,es,30,10,5,7,8,3,7,8,9,5,5,,7,,8,5,5,2,9,2,1,5,5,5,5,4,0,1,54,,3,8,1
2898,es,120,240,3,7,3,2,0,2,1,0,0,4,3,1,9,7,,2,8,3,2,3,3,0,7,7,60,1,33,6,4,19,1
2911,es,60,10,5,5,5,4,0,5,5,0,0,5,5,5,5,1,5,2,8,2,2,10,5,8,6,1,70,1,30,6,3,9,0
2957,es,0,720,1,0,0,4,0,0,0,0,0,0,0,10,8,0,0,1,8,1,2,10,10,7,7,7,50,2,23,6,4,15,1
2963,es,60,45,8,8,4,1,2,0,7,5,5,0,0,0,8,2,0,1,8,2,3,0,5,0,7,1,75,2,49,,4,8,1
2983,es,60,450,8,7,3,3,0,0,5,0,0,4,7,1,9,3,2,1,9,2,2,1,1,1,7,7,85,1,38,6,3,18,1
2990,es,60,600,5,5,6,3,1,2,6,0,0,1,4,2,9,2,1,2,9,4,2,3,2,0,7,7,65,2,33,6,4,21,1
2999,es,60,,5,5,2,3,2,0,5,2,2,2,0,5,8,5,3,1,9,2,3,8,8,0,7,7,60,1,42,6,4,8,1
3008,es,90,120,7,5,5,2,6,7,8,5,5,5,6,7,8,6,4,2,8,2,2,10,9,6,3,3,70,1,82,,1,7,0
3124,es,60,360,4,5,5,4,2,2,6,0,0,2,2,5,10,2,0,5,5,1,1,8,4,0,7,7,0,1,39,,1,10,1
3126,es,60,90,6,7,5,1,6,7,7,6,4,4,4,0,7,9,4,2,6,1,2,10,6,0,7,7,60,2,41,,4,18,1
3163,es,60,,5,10,10,3,5,5,6,6,6,6,6,5,10,5,5,3,5,3,2,5,5,6,6,3,0,1,50,,1,10,1
3195,es,60,480,8,8,7,2,7,7,9,6,6,7,7,4,8,5,7,2,8,1,1,8,8,8,7,3,70,1,69,4,1,14,0
3256,es,60,,0,3,5,4,4,10,10,5,4,4,3,,6,4,4,1,9,4,3,6,5,3,7,7,60,1,52,,4,12,0
3262,es,0,,4,4,5,4,1,1,5,1,1,1,1,5,6,3,1,2,6,3,3,6,6,4,4,7,70,2,53,6,4,15,0
3343,es,240,,5,3,3,3,3,0,3,3,2,4,0,0,6,3,3,2,10,3,3,8,5,5,6,6,60,1,78,,4,7,0
3381,es,60,,8,5,9,2,4,3,8,6,4,7,8,6,7,6,4,4,9,3,3,8,7,5,4,4,65,2,71,6,4,8,0
3409,es,60,120,4,3,5,3,2,2,2,1,1,2,2,,7,5,0,2,7,1,1,6,6,2,7,7,0,1,53,4,4,9,1
3469,es,90,90,5,5,0,3,5,0,0,5,5,5,5,2,4,5,5,1,7,2,2,10,10,6,5,1,70,1,56,,2,4,1
3502,es,120,180,7,7,4,3,3,3,7,1,1,3,4,5,8,6,7,2,8,1,3,9,9,5,6,7,70,1,33,,4,14,0
3505,es,0,,3,3,3,4,0,2,0,0,0,0,,,8,2,3,2,9,4,4,10,,10,2,1,60,2,66,,4,2,0
3654,es,0,600,8,4,1,4,3,2,4,0,0,3,3,5,7,0,3,1,8,2,2,9,7,5,7,7,70,2,31,6,1,19,1
3667,es,40,240,6,6,3,2,2,4,5,3,3,1,1,5,6,6,4,1,6,2,2,3,4,2,5,6,75,1,40,,3,19,1
3670,es,5,60,2,5,0,3,3,3,8,0,0,7,6,,8,5,2,1,9,2,2,10,10,5,6,1,70,2,37,,1,19,1
3675,es,30,30,4,2,5,4,5,8,9,0,0,5,5,3,10,5,6,2,10,2,2,7,7,9,4,1,75,2,34,6,4,11,1
3676,es,90,510,8,7,5,2,8,6,7,6,5,6,7,4,7,6,5,1,7,2,2,10,8,2,7,4,68,1,58,6,4,26,0
3678,es,60,,3,5,7,4,,0,10,,,,,9,9,,10,8,10,3,2,10,,10,1,1,8,2,90,,4,,0
3688,es,,,,,,7,,,,,,,,,,,,7,,7,7,,,,,,60,1,37,6,3,12,0
3690,es,,120,7,6,8,2,6,2,8,3,2,5,2,,8,4,6,2,4,2,3,6,6,7,6,6,8,1,46,,2,16,1
3734,es,10,120,6,4,5,3,4,0,5,0,0,3,3,2,7,3,4,3,8,2,1,7,7,1,7,7,60,2,21,6,3,15,1
3775,es,90,80,7,7,3,2,4,5,6,2,1,4,6,4,7,4,5,1,6,2,2,8,6,2,7,7,65,1,49,,5,12,1
3791,es,160,140,4,5,4,2,2,1,6,0,0,5,5,3,1,1,1,1,7,1,2,6,6,1,7,7,60,1,30,6,4,2,1
3838,es,60,300,4,7,7,3,7,6,8,7,7,8,7,4,8,6,6,1,9,2,1,8,9,0,7,7,65,1,17,6,1,4,0
3851,es,60,120,8,2,2,3,6,4,8,0,3,5,7,5,8,4,0,1,10,2,2,10,10,3,7,7,60,1,58,,3,10,1
3892,es,30,240,4,5,2,4,7,5,5,4,4,6,7,,9,5,4,1,10,4,3,6,9,10,3,1,65,2,17,6,1,12,0
3965,es,38,480,1,8,3,3,2,2,7,2,1,4,4,1,7,4,0,2,8,1,2,6,3,0,7,7,65,1,36,6,1,16,1
3981,es,30,360,3,2,1,4,0,0,8,0,0,,,3,9,2,0,2,10,4,2,7,5,0,7,7,0,1,33,6,2,14,0
4062,es,45,30,7,3,2,3,2,1,7,0,0,0,0,5,8,5,5,2,8,2,2,10,10,7,3,2,65,2,70,,1,12,0
4068,es,30,,7,7,8,3,6,5,8,5,5,7,7,2,8,4,4,2,9,2,2,7,8,2,6,6,0,1,71,,1,7,0
4081,es,300,240,4,4,4,2,4,2,7,0,0,1,0,3,9,5,4,2,9,2,2,9,6,8,3,1,80,2,71,,1,6,0
4093,es,30,60,8,8,5,2,6,8,9,4,3,3,7,5,9,7,3,2,9,2,2,8,7,3,7,5,67,1,41,,4,14,1
4098,es,0,180,2,8,2,4,0,0,3,0,0,0,3,,8,2,0,1,8,4,4,8,4,8,3,1,75,2,49,,4,13,0
4157,es,0,120,3,2,2,4,5,2,8,0,0,0,0,,7,7,2,1,5,3,3,8,3,2,7,7,60,2,37,5,4,12,1
4176,es,30,,1,5,5,4,,7,8,1,1,,,8,5,,1,2,3,2,4,10,5,2,6,1,65,2,83,5,4,7,0
4199,es,90,240,6,6,5,2,6,4,7,1,4,5,5,3,6,4,6,4,6,2,2,5,3,8,7,1,70,2,49,6,4,15,1
4227,es,90,,7,5,3,3,6,4,8,2,2,5,6,3,3,5,7,2,8,1,2,8,8,0,7,7,65,1,58,,3,14,1
4346,es,150,60,7,7,8,1,6,6,8,5,5,4,5,2,7,7,6,2,9,2,2,7,6,4,4,4,66,1,52,,1,4,0
4347,es,180,120,5,5,5,2,8,7,8,5,5,6,6,6,9,6,5,1,8,2,2,7,7,0,7,7,65,1,33,6,4,15,1
4501,es,30,30,3,6,6,3,6,7,7,5,5,6,6,3,8,8,5,1,8,2,3,8,6,3,5,6,70,2,27,6,4,12,0
4510,es,150,,1,1,5,2,5,5,10,5,5,5,5,5,8,5,5,2,7,3,2,9,5,10,2,1,60,2,70,,1,18,0
4519,es,120,150,4,2,3,2,7,8,10,5,5,6,7,3,10,10,4,2,10,2,1,8,8,7,7,7,8,1,35,4,4,12,1
4530,es,120,,5,6,5,3,0,6,7,0,0,4,4,8,7,3,3,2,7,1,3,8,6,7,4,4,65,1,68,3,4,6,0
4532,es,360,600,8,6,4,1,7,7,6,6,6,,,1,10,7,9,2,10,4,2,10,9,0,7,7,70,2,21,6,4,19,0
4620,es,60,150,8,5,7,2,6,7,8,3,1,6,7,3,8,7,4,3,8,2,2,10,10,5,7,7,70,1,54,,3,18,1
4628,es,30,,4,5,1,4,4,4,2,2,2,4,4,5,5,6,3,1,5,3,4,7,2,3,6,6,70,2,70,5,3,0,0
4639,es,180,270,7,7,6,2,2,2,2,2,4,3,3,0,7,1,1,1,8,3,4,0,1,0,7,7,70,2,25,6,3,14,1
4666,es,30,510,5,7,7,3,8,10,10,3,3,10,10,6,8,2,0,2,10,1,1,9,9,6,4,3,65,1,39,,4,18,1
4676,es,0,,2,5,6,3,0,1,5,0,0,5,7,1,9,3,4,1,9,2,3,9,8,0,7,7,70,2,49,,3,8,1
4678,es,60,120,4,5,0,2,7,7,8,3,2,4,5,4,6,3,3,1,7,1,2,7,4,1,5,6,60,1,49,,4,12,1
4774,es,60,,5,7,7,2,5,5,8,4,4,6,3,5,8,8,6,2,8,2,3,8,8,8,3,3,70,1,71,,2,8,0
5110,es,0,120,3,3,3,4,2,3,3,2,2,5,5,5,4,5,3,1,6,2,3,5,4,4,5,1,60,2,45,6,3,7,0
5145,es,30,120,5,7,3,3,8,8,10,3,3,8,8,5,8,2,2,2,8,2,3,10,10,0,7,7,0,1,57,,3,10,1
5152,es,20,120,5,7,6,3,6,6,7,3,3,3,5,3,7,5,4,2,8,2,2,6,5,5,4,6,0,2,27,6,4,19,1
5164,es,60,600,5,7,3,2,1,0,2,2,0,2,2,5,8,3,0,4,8,2,1,2,8,3,6,6,80,2,64,4,1,60,1
5218,es,30,15,3,5,2,3,3,3,4,1,2,3,5,5,5,5,4,2,5,1,2,8,8,5,7,6,65,1,50,,4,11,1
5229,es,30,60,5,8,5,1,7,4,8,4,3,5,5,5,8,4,3,4,8,2,3,10,8,3,7,7,70,2,48,,2,14,1
5322,es,60,420,5,7,2,3,3,3,5,2,2,2,5,3,7,5,3,2,6,1,2,3,6,2,5,7,65,1,51,,4,14,1
5330,es,0,120,0,5,5,4,6,8,8,5,4,7,6,5,9,6,3,4,8,2,2,8,8,8,2,1,0,2,48,,4,19,1
5337,es,30,,6,5,7,4,4,6,8,5,5,8,5,,5,6,3,3,7,2,3,6,6,10,5,1,50,2,33,,4,10,0
5344,es,120,330,8,5,5,2,8,7,6,10,9,9,7,1,4,4,10,1,5,2,2,10,6,8,4,3,75,2,41,4,2,15,1
5432,es,60,60,5,5,4,2,4,2,3,2,4,4,3,1,3,3,2,1,8,1,2,3,5,0,6,7,65,1,55,,4,13,1
5527,es,30,80,0,0,0,3,4,0,0,0,0,4,0,10,10,4,0,1,8,2,2,10,10,7,7,7,60,1,33,4,4,18,1
5535,es,60,120,7,5,8,2,4,3,7,2,2,1,1,1,6,2,8,1,8,1,2,10,8,0,7,7,70,1,59,,4,10,1
5556,es,90,210,5,3,6,2,4,6,9,4,5,7,7,9,7,4,3,3,7,2,2,8,7,2,7,7,50,1,19,6,4,16,0
5574,es,180,,1,0,2,4,1,3,3,0,0,0,0,3,5,3,,1,5,2,4,8,2,5,7,2,60,2,75,1,2,6,0
5616,es,30,360,4,5,2,4,,5,7,4,4,,,3,10,0,4,1,9,3,1,4,4,7,3,2,65,2,16,6,3,13,0
5621,es,120,90,0,7,8,4,2,8,9,1,1,5,,5,8,3,4,3,8,2,2,9,7,2,6,2,70,2,38,,4,10,1
5633,es,60,240,0,0,0,4,0,0,0,0,0,0,0,,0,0,0,1,10,2,8,5,5,10,7,1,80,2,55,4,3,30,1
5650,es,10,150,4,6,2,4,1,1,2,2,2,,,3,6,3,4,2,7,2,2,3,3,1,7,7,75,1,23,6,5,13,1
5652,es,360,98,5,6,6,1,7,4,8,6,6,0,0,5,10,6,8,1,8,2,2,6,6,0,7,7,70,2,42,,4,13,1
5851,es,60,480,3,4,5,3,3,7,10,1,1,3,3,,10,6,4,4,10,1,2,9,7,4,5,4,65,1,40,4,4,21,1
5882,es,180,360,5,5,7,3,2,4,5,2,3,3,3,5,10,4,5,2,10,2,1,10,5,4,6,7,70,1,24,6,4,12,0
5925,es,90,30,8,7,2,3,5,9,9,6,4,,,6,7,5,2,8,8,2,4,10,9,6,3,1,0,1,73,,3,12,0
5942,es,35,,5,5,4,4,5,5,6,5,5,5,,6,5,5,5,2,6,2,3,8,8,5,3,1,70,2,76,,4,7,0
6014,es,15,120,6,2,2,3,3,3,7,2,2,2,1,2,7,4,3,2,8,1,2,10,6,0,7,7,0,1,38,6,2,18,1
6174,es,160,,5,2,4,3,5,8,10,4,3,7,6,5,5,3,3,1,8,4,3,7,7,6,3,3,80,2,75,,4,12,0
6256,es,180,180,4,4,6,2,2,0,3,0,0,2,0,1,7,0,0,1,7,1,3,7,5,0,5,7,0,1,57,,4,30,1
6268,es,30,120,0,7,5,3,0,0,0,0,0,0,0,8,8,0,0,2,7,3,1,8,7,0,7,6,90,2,29,6,4,14,1
6361,es,60,120,4,4,4,4,5,4,5,5,5,4,5,3,4,6,5,3,8,2,1,10,7,5,6,7,67,2,30,6,1,25,1
6377,es,0,60,0,5,4,4,0,5,10,0,0,0,0,0,5,3,,1,10,2,1,10,8,7,7,7,8,1,56,,4,7,1
6398,es,60,180,8,8,4,3,0,0,0,0,0,0,0,2,8,2,0,1,9,1,2,8,8,4,6,6,90,1,46,,4,20,1
6415,es,90,,5,5,2,3,6,9,9,2,3,5,6,8,9,7,0,7,8,2,3,10,10,6,6,6,65,1,78,,1,12,0
6460,es,30,510,0,6,4,4,4,6,6,2,2,4,4,,10,4,0,2,10,8,3,,,5,7,,8,2,52,,4,13,1
6469,es,120,720,9,8,4,1,9,9,9,5,5,9,5,5,10,8,5,2,10,2,2,7,7,4,7,7,70,1,28,,3,16,1
6471,es,60,120,5,5,6,2,3,1,8,2,2,,5,9,7,4,0,2,9,4,3,9,9,5,4,2,70,2,44,,3,12,1
6473,es,0,360,8,9,10,4,,,10,9,9,10,10,2,10,10,10,2,10,3,2,10,10,5,6,7,65,2,40,5,3,16,1
6568,es,180,300,2,6,3,3,7,8,10,3,3,,,,9,7,,1,7,3,1,,,0,6,6,65,1,17,6,1,13,0
6630,es,30,180,9,8,6,2,9,8,9,3,4,9,9,5,8,3,1,3,9,3,1,5,5,0,7,7,75,1,39,,2,20,0
6646,es,60,,5,5,6,3,5,5,6,2,4,5,5,6,10,6,5,5,9,2,2,7,6,2,7,7,80,1,41,4,4,15,1
6688,es,10,180,5,4,3,4,2,6,7,4,2,4,4,4,7,6,7,3,8,3,2,8,8,5,7,7,60,1,22,6,3,11,1
6724,es,30,60,6,4,7,4,4,4,4,2,1,5,5,,9,6,5,1,9,3,3,3,9,8,7,1,80,1,29,6,3,10,0
6744,es,60,180,7,5,9,4,5,8,10,1,1,5,5,9,8,7,3,5,8,1,1,7,5,5,7,1,60,1,47,,1,15,1
6765,es,600,,5,8,1,3,3,5,9,2,2,8,4,9,10,2,2,2,10,2,3,10,6,9,3,1,65,2,74,,4,8,0
6836,es,75,,4,7,3,2,6,6,7,4,4,7,7,3,5,5,5,2,6,1,3,6,7,3,5,7,70,2,55,6,5,15,1
6837,es,0,60,7,9,8,4,,,,,,,,,6,5,,1,7,1,2,2,,0,7,7,8,2,39,,4,8,1
6847,es,70,120,8,8,7,1,6,7,10,4,4,6,8,7,7,2,1,2,7,1,3,9,7,4,6,3,75,1,56,,3,16,1
6906,es,30,60,5,5,5,4,5,5,5,5,5,5,5,4,6,0,0,1,7,2,2,9,7,0,7,7,60,1,34,6,4,11,1
6923,es,45,240,7,6,6,2,8,8,2,4,7,9,8,5,8,4,0,3,8,2,1,9,7,2,7,6,80,2,43,4,4,19,1
6932,es,10,,5,2,1,4,2,5,8,1,0,2,,4,7,6,5,2,8,1,2,10,7,0,7,7,70,1,38,,4,10,0
6934,es,90,60,8,3,2,3,5,3,2,1,1,2,3,,9,0,0,2,9,2,2,7,7,9,7,1,70,2,26,6,1,14,1
6993,es,30,300,6,7,4,3,4,3,7,3,3,7,8,7,7,7,3,5,8,2,2,9,9,2,7,7,70,1,36,6,3,20,1
7019,es,120,120,7,7,4,2,6,4,8,4,3,6,6,3,7,4,0,2,8,1,1,10,8,0,7,7,70,1,23,6,3,19,0
7052,es,135,,6,3,7,3,5,3,8,5,5,5,5,9,9,6,5,1,9,1,3,8,6,5,4,6,80,1,73,1,5,4,0
7082,es,180,,6,4,6,3,4,6,7,3,3,,,7,7,7,4,4,8,2,3,9,5,10,2,2,70,2,87,5,4,10,0
7153,es,60,180,4,7,4,3,3,4,7,1,2,4,5,5,8,4,4,2,8,2,2,9,7,4,6,7,65,1,34,,3,17,1
7171,es,120,300,8,7,7,2,4,4,7,2,2,2,5,2,8,7,7,1,9,2,1,10,10,6,6,6,75,2,24,6,3,18,0
7196,es,330,,2,3,6,4,5,6,6,3,2,4,5,4,7,4,5,2,6,2,3,5,6,6,4,3,69,2,70,,5,9,0
7206,es,60,120,8,6,6,3,3,7,9,1,1,1,1,5,8,4,2,4,8,2,2,10,6,5,2,3,70,2,64,,1,10,1
7245,es,30,120,1,1,0,3,0,0,5,0,0,0,4,8,8,6,5,4,7,2,2,9,9,5,3,6,70,2,33,,3,16,1
7253,es,60,120,5,5,7,2,8,7,9,5,5,5,8,5,8,6,4,2,8,2,2,10,10,10,7,7,80,2,46,,2,18,0
7373,es,60,120,8,8,8,3,5,5,8,5,5,5,7,5,9,6,5,1,8,2,2,9,9,9,2,1,65,2,63,6,1,20,0
7416,es,30,,6,7,7,3,5,3,6,3,3,6,7,4,6,5,5,2,7,2,3,4,6,6,4,1,70,2,76,,4,8,0
7430,es,30,60,8,8,8,4,5,0,5,0,0,5,5,,8,2,1,2,9,2,2,4,4,6,4,4,70,2,35,6,1,25,1
7431,es,45,180,5,3,5,3,6,7,8,3,3,7,8,5,9,6,3,1,9,1,1,10,10,7,6,2,70,2,54,6,3,11,1
7482,es,20,360,5,6,6,3,4,3,6,0,0,5,5,5,6,3,3,3,7,1,3,6,5,3,7,7,60,1,44,6,4,12,1
7484,es,1,180,5,5,5,4,0,5,5,0,0,5,5,5,10,0,0,2,10,1,1,6,6,0,7,7,75,1,53,,3,20,1
7493,es,60,90,5,5,3,2,5,5,7,0,0,4,6,5,8,4,2,1,8,2,3,6,6,6,4,3,70,1,67,,3,15,0
7494,es,60,480,1,1,9,2,6,6,7,6,4,6,7,5,9,4,6,2,9,2,2,8,7,4,7,6,75,1,33,,1,22,1
7507,es,60,180,7,7,5,1,8,8,8,5,3,5,7,2,7,5,0,1,9,2,2,8,5,0,7,7,70,2,34,6,4,21,1
7532,es,90,90,3,3,3,4,5,6,9,1,4,5,5,7,8,9,3,2,10,2,2,7,7,5,6,6,80,2,61,,4,10,0
7539,es,180,480,5,5,4,2,6,4,,5,4,5,6,3,6,6,3,2,6,2,2,7,6,0,4,4,52,1,38,,2,18,1
7545,es,120,270,1,7,2,2,0,0,0,0,0,0,0,,8,0,0,1,9,2,2,5,6,0,7,7,65,1,51,,3,14,1
7578,es,90,300,5,0,4,2,0,3,9,0,0,0,3,10,7,0,0,2,9,4,2,10,6,5,7,6,67,1,45,,1,8,1
7620,es,20,,3,7,7,1,5,7,1,0,0,6,7,2,5,0,5,2,5,2,4,10,10,3,7,4,70,1,52,6,3,19,0
7716,es,0,300,2,4,1,4,6,5,8,0,0,5,5,,9,5,,1,9,4,3,8,2,9,4,3,60,2,15,6,1,11,0
