idno,country,polnews,internet,trust1,trust2,trust3,polint,trustparl,trustlegal,trustpolice,trustpols,trustparties,trusteuparl,trustun,leftright,satlife,satecon,satgov,equality,happy,unsafe,badhealth,natattach,eurattach,relig,religatt,prayer,becomeold,gender,age,marital,domicile,education,working
37476,es,120,120,8,8,8,3,8,6,8,6,6,6,8,3,8,9,8,2,9,1,3,8,8,5,7,1,50,1,55,,1,6,1
37544,es,10,120,4,5,5,4,7,7,8,3,3,8,7,3,10,,,3,8,2,2,5,6,5,4,1,0,2,37,6,1,8,1
37552,es,0,,1,0,0,4,0,2,2,0,0,0,0,,8,0,0,2,10,1,2,5,3,3,7,7,70,2,33,,4,14,1
37561,es,30,,5,3,8,4,6,0,5,4,6,,,3,7,6,5,2,9,1,3,5,2,5,7,1,70,2,87,5,4,12,0
37616,es,60,600,5,6,1,4,0,0,0,0,0,1,3,4,10,0,1,1,10,2,2,0,0,8,3,1,63,2,60,6,4,11,1
37625,es,5,30,5,3,0,3,3,0,5,0,0,3,0,4,7,4,0,2,7,1,2,0,0,0,7,7,67,1,46,6,4,10,1
37633,es,90,,5,5,4,4,,3,9,3,3,,,,1,3,2,1,2,3,5,10,2,5,7,6,0,2,71,,3,2,0
37656,es,60,,6,6,7,3,4,2,6,3,3,5,5,3,7,5,4,1,7,2,3,3,5,3,5,5,70,1,72,6,4,8,0
37709,es,30,60,6,5,5,1,7,8,9,4,4,5,5,4,8,4,5,2,7,2,3,5,8,3,7,7,65,1,64,,1,10,0
37723,es,0,,0,5,0,3,5,3,3,2,2,3,4,,10,3,2,1,10,2,3,6,3,5,5,6,0,2,55,,4,9,1
37760,es,150,210,5,8,7,3,,4,5,1,1,1,2,5,9,1,0,2,9,3,3,10,4,6,5,5,8,2,33,,4,10,1
37767,es,0,240,4,4,2,3,3,7,2,0,0,5,5,4,5,2,2,1,5,1,3,7,7,3,6,4,60,1,21,6,1,17,1
37777,es,20,180,5,7,5,4,0,0,5,0,0,0,1,2,5,1,1,2,8,3,1,5,4,0,7,7,65,2,35,,4,15,1
37788,es,5,480,8,7,3,2,9,9,10,6,5,7,8,5,9,5,2,2,8,2,2,9,9,3,7,7,70,1,46,4,3,12,1
37794,es,120,270,4,5,4,1,7,3,8,0,0,5,7,4,4,3,3,1,10,3,2,10,9,9,7,1,75,2,39,,3,18,0
37824,es,120,600,5,4,3,2,5,7,7,5,4,8,5,4,10,9,5,2,8,1,1,10,10,4,6,7,70,1,50,,1,10,1
37873,es,30,600,5,2,3,3,3,2,9,0,0,3,,4,5,0,0,2,9,3,2,7,6,9,3,2,70,2,28,6,4,8,0
37895,es,180,60,3,3,3,2,3,6,6,1,1,3,5,7,8,6,2,2,8,2,2,8,5,3,6,6,65,1,76,,1,30,0
37923,es,90,180,4,3,1,2,2,7,8,4,4,5,6,5,7,4,3,2,7,3,2,6,9,6,5,2,60,1,63,,1,17,1
38142,es,10,60,8,8,5,4,0,8,8,0,0,0,0,2,8,3,0,1,8,2,1,8,6,8,3,1,75,1,66,,2,13,0
38268,es,90,270,7,7,4,3,3,4,6,2,1,5,5,6,8,4,2,4,9,1,2,8,6,4,5,7,75,2,55,,3,17,1
38345,es,60,60,3,0,0,1,0,0,0,0,0,0,0,5,6,0,0,1,7,2,2,7,7,0,7,1,70,2,51,,4,10,1
38380,es,150,120,2,6,5,3,3,5,8,1,1,2,2,5,8,3,3,2,8,2,2,6,6,2,7,7,75,2,38,6,3,21,0
38383,es,30,,7,6,4,4,5,7,10,1,1,5,7,5,8,0,0,2,10,2,3,7,7,5,7,5,70,2,54,,4,8,1
38403,es,90,330,4,8,3,1,5,4,8,3,3,7,9,10,7,5,2,1,8,4,2,9,7,5,5,4,0,1,21,6,3,16,1
38427,es,0,240,5,6,7,4,1,4,7,0,0,1,4,7,9,5,2,2,8,3,1,9,7,5,6,6,65,2,48,4,1,18,1
38844,es,120,120,5,5,5,2,8,10,8,8,8,8,8,5,6,7,,3,7,3,1,9,9,6,3,3,8,1,70,,3,18,0
38902,es,70,260,7,7,6,1,4,6,8,3,3,5,6,6,8,5,2,4,9,2,2,9,8,0,7,7,70,2,48,,3,30,1
38925,es,120,480,1,2,1,2,8,8,10,0,0,0,6,8,10,8,7,2,10,2,3,10,8,5,4,7,50,1,55,6,1,8,1
38943,es,60,120,5,5,5,2,5,5,7,2,2,5,5,5,7,5,5,2,9,2,2,9,7,6,6,6,66,1,36,,4,14,0
39039,es,15,,6,6,5,3,6,6,6,4,4,6,6,3,8,7,4,2,8,1,2,8,8,0,7,7,65,2,39,,4,10,0
39072,es,20,240,8,8,5,3,5,4,3,2,2,1,1,5,8,5,8,2,8,1,2,7,6,0,7,7,70,1,55,,4,12,1
39074,es,60,,5,5,3,4,5,8,10,5,5,5,5,5,6,6,4,2,10,2,3,10,10,7,3,3,60,1,76,,3,6,0
39085,es,60,60,10,7,5,4,4,3,5,2,2,2,3,5,9,5,3,4,9,1,3,10,8,8,6,4,65,1,46,,3,13,1
39157,es,30,120,5,7,6,4,3,5,5,0,0,3,4,2,10,3,4,2,10,2,1,8,7,7,2,5,70,2,36,,1,11,1
39260,es,120,420,6,7,4,2,4,7,9,2,2,6,6,4,8,5,4,2,9,3,1,7,8,2,7,7,70,2,21,6,3,12,1
39263,es,,60,3,3,3,4,1,1,1,1,1,1,1,,8,4,4,2,8,3,3,6,4,2,5,6,60,2,30,3,3,18,1
39420,es,120,180,3,5,5,3,2,5,8,0,0,0,3,5,9,2,0,1,9,3,1,10,6,6,6,3,60,2,36,6,3,13,0
39492,es,0,150,6,7,7,3,6,6,8,3,0,5,0,,6,6,3,1,10,2,2,10,1,5,6,1,65,1,46,,3,13,1
39522,es,60,,,,7,4,,,6,,,,,,8,6,7,8,8,2,2,7,7,7,4,4,60,2,84,5,4,0,0
39537,es,90,150,1,9,1,3,3,2,6,2,3,3,4,3,6,3,3,2,7,2,2,9,5,0,7,7,70,1,51,6,3,13,0
39586,es,120,120,8,8,1,3,0,5,10,0,0,5,5,3,10,5,,1,10,2,2,10,10,0,7,7,65,1,35,,4,10,1
39594,es,60,90,7,7,7,2,8,6,9,1,2,3,3,7,7,5,0,2,7,2,3,10,7,10,2,1,72,2,48,,2,13,0
39596,es,60,60,0,9,7,4,2,8,8,1,1,1,8,,8,4,4,2,8,1,1,7,2,1,6,6,75,1,35,6,4,8,1
39637,es,0,,5,5,8,3,6,4,8,3,2,6,9,4,8,4,5,2,8,2,2,8,8,6,4,1,70,1,38,,4,11,1
39656,es,60,60,6,5,5,2,6,8,7,3,2,7,7,5,8,5,3,4,9,1,2,9,7,6,4,6,65,1,67,,4,15,0
39758,es,30,90,5,2,2,3,2,2,0,0,0,2,2,0,2,2,0,5,6,3,1,0,0,3,7,7,60,1,38,,4,10,1
39768,es,30,60,3,2,2,2,8,8,8,6,6,8,8,6,8,6,4,2,6,2,2,7,6,6,5,6,65,1,56,6,3,,0
39969,es,60,,2,3,6,4,5,5,8,2,1,,,5,7,2,,3,7,2,2,8,5,10,1,1,70,2,90,5,3,7,0
39990,es,120,,0,1,3,3,3,1,5,1,0,6,9,8,2,1,4,2,2,4,5,10,0,8,7,6,70,1,90,6,1,8,0
39993,es,60,120,3,4,3,2,6,2,7,1,2,2,2,3,7,4,3,2,7,2,2,5,2,2,6,6,65,1,30,6,3,12,1
40017,es,30,60,6,8,5,3,1,5,7,1,0,5,5,5,7,5,4,4,8,2,2,5,4,0,7,7,75,2,36,6,3,17,1
40123,es,60,120,4,6,9,3,5,8,8,3,3,4,4,6,9,6,6,3,9,1,1,9,9,5,3,3,80,2,39,6,4,15,1
40194,es,20,750,7,6,5,3,5,5,4,4,3,4,5,4,7,4,4,1,7,2,2,9,7,0,7,7,60,1,18,6,5,12,0
40245,es,30,,2,0,2,3,1,7,8,0,0,5,6,,6,6,5,2,7,2,2,5,4,3,5,7,70,2,59,,4,8,0
40250,es,15,,7,7,3,4,5,7,9,1,0,6,,4,7,3,2,2,8,2,2,9,7,6,4,7,70,2,44,,4,38,1
40258,es,150,60,5,5,6,3,5,3,7,5,3,5,5,4,6,4,5,1,7,2,2,8,7,6,4,2,70,2,49,,1,16,0
40278,es,60,180,2,4,3,1,0,8,7,0,0,0,0,6,4,0,0,4,0,3,4,9,5,4,6,7,80,2,49,,3,8,0
40287,es,0,240,7,8,8,4,1,1,6,1,1,1,1,1,5,3,4,2,6,2,2,8,6,1,7,7,70,2,67,6,1,18,0
40290,es,0,90,3,3,5,3,0,3,8,0,0,2,10,5,8,6,0,3,9,2,1,8,10,0,7,7,0,1,15,6,3,12,0
40305,es,30,90,1,0,1,1,0,0,10,5,5,,,0,2,0,5,1,10,2,2,10,,7,6,6,75,2,63,5,2,5,1
40314,es,30,120,7,6,6,4,7,6,8,2,3,7,9,7,8,6,7,2,7,2,2,8,8,7,5,4,65,2,27,6,1,20,1
40331,es,0,70,5,8,5,4,0,0,5,3,3,3,3,4,4,2,2,1,9,2,2,6,3,6,7,5,70,2,45,,4,5,1
40367,es,0,120,0,6,2,3,4,8,8,0,0,,,2,1,0,0,1,5,2,1,10,6,8,5,1,7,2,52,4,3,8,1
40383,es,15,,5,9,9,4,6,8,9,7,7,7,5,4,9,9,6,3,8,2,2,7,,10,3,1,80,2,89,5,4,8,0
40391,es,60,,5,5,3,4,0,5,10,0,0,,,7,10,5,0,2,10,1,2,10,0,10,5,1,60,2,78,,4,0,0
40425,es,210,,3,4,5,1,10,10,10,6,6,9,5,9,7,4,2,1,7,2,1,10,7,5,4,4,65,1,68,,4,9,0
40489,es,30,260,7,6,7,3,6,7,6,5,5,6,7,3,6,5,4,2,6,4,3,5,5,3,5,7,60,2,18,6,4,16,0
40509,es,270,300,5,5,3,2,3,3,6,3,2,3,2,5,5,4,2,2,5,2,1,9,7,0,7,7,70,1,45,,3,20,1
40537,es,30,240,7,8,7,2,6,2,0,2,4,7,7,2,9,5,6,2,8,1,2,7,7,0,7,7,70,1,23,6,1,20,1
40573,es,15,,5,5,5,4,7,4,10,1,1,7,7,3,6,5,7,2,5,2,3,9,9,8,4,4,65,2,79,,4,10,0
40627,es,120,120,5,5,5,2,3,5,7,3,2,5,5,5,3,3,3,1,5,2,3,8,8,0,7,7,60,1,40,6,3,10,0
40657,es,90,120,7,6,4,2,7,7,9,5,5,7,6,3,5,3,3,1,7,4,2,9,9,7,7,7,65,2,48,4,3,21,0
40689,es,60,600,6,3,2,3,2,4,1,0,0,2,6,2,8,3,2,2,6,3,2,1,3,0,7,7,60,1,21,6,3,18,0
40690,es,30,120,6,4,5,4,5,6,7,0,0,6,7,5,9,0,2,1,9,1,2,10,10,8,1,6,0,2,65,,4,17,0
40784,es,120,60,7,8,4,2,5,7,7,6,6,9,9,5,10,8,5,1,10,2,2,5,8,5,7,7,70,2,42,,1,20,0
40880,es,90,150,5,7,5,2,3,4,7,4,4,5,5,3,8,4,4,1,7,2,3,6,6,4,7,4,75,2,45,,3,23,1
40903,es,30,360,2,0,0,3,5,3,5,2,2,6,6,5,6,5,3,3,8,2,3,10,5,7,4,6,70,1,28,6,4,13,0
40925,es,30,40,10,10,10,2,6,4,8,5,6,8,9,6,9,5,7,4,8,1,1,9,7,6,5,7,70,2,44,6,3,17,1
40945,es,30,60,6,6,2,2,6,5,7,4,6,6,1,6,7,4,2,2,7,2,2,9,7,3,7,6,70,1,61,,3,8,1
40969,es,60,270,5,5,5,2,5,8,9,2,2,6,7,8,10,7,3,2,0,2,2,1,8,0,7,7,70,1,15,6,4,12,0
40974,es,60,150,4,6,3,1,7,5,9,5,5,6,8,3,9,8,7,2,9,2,1,9,8,0,7,7,65,1,16,6,4,10,0
40994,es,0,180,5,3,4,2,8,8,8,8,8,8,8,5,8,8,8,8,9,2,1,5,5,8,7,1,0,2,32,,3,8,0
41005,es,30,150,6,3,4,2,2,4,3,2,2,8,7,5,7,2,3,2,6,1,2,8,8,6,3,1,72,1,42,6,4,9,1
41025,es,60,,5,5,5,2,5,8,10,7,7,10,9,,10,5,5,1,10,2,2,10,10,7,6,6,60,2,37,1,4,13,1
41097,es,270,240,6,4,4,3,5,4,6,1,2,5,8,0,10,6,9,1,10,2,2,4,8,0,7,7,0,1,19,6,4,16,0
41141,es,,,6,5,5,4,3,7,8,5,5,1,8,3,9,6,4,2,9,2,2,7,7,5,4,4,80,2,46,6,4,15,0
41143,es,240,,4,2,10,2,,7,2,0,5,5,0,4,10,3,0,3,8,3,2,9,9,6,3,1,65,2,81,5,3,10,0
41149,es,60,90,6,7,6,2,7,9,9,3,4,4,5,3,8,2,4,2,10,2,1,5,5,0,7,7,70,1,50,,4,16,1
41244,es,120,120,6,6,5,3,5,3,10,2,2,,5,5,8,3,3,1,9,1,1,9,4,0,7,7,70,2,26,6,4,19,1
41256,es,30,120,8,6,8,4,5,7,9,2,2,5,5,9,9,6,3,2,9,2,2,7,7,4,6,5,70,1,68,,3,14,1
41334,es,30,300,6,7,6,3,7,7,8,6,5,8,8,7,9,8,7,2,9,2,2,8,8,0,7,6,60,1,31,6,1,18,1
41349,es,120,420,5,5,8,2,2,2,10,1,0,1,0,5,9,3,0,4,9,1,1,9,9,10,1,1,80,1,46,6,1,15,1
41477,es,30,15,6,7,3,4,6,4,9,8,8,,6,4,8,7,7,2,8,2,3,7,5,6,5,5,60,2,65,,3,10,1
41502,es,90,120,2,2,2,2,0,0,7,0,0,5,5,5,10,3,0,1,10,1,1,10,7,10,4,4,75,1,41,,3,11,1
41503,es,60,180,7,7,4,2,7,7,7,4,4,9,9,5,8,5,3,1,8,2,2,9,9,5,7,7,75,1,38,6,3,13,1
41536,es,60,480,6,6,4,3,5,6,8,2,2,6,7,6,8,4,4,1,8,2,1,9,8,7,5,3,75,2,23,6,3,16,0
41609,es,0,180,4,5,7,4,5,4,1,4,4,3,4,3,6,6,2,3,4,1,3,7,7,7,5,1,60,2,28,6,3,11,1
41721,es,120,180,6,8,2,3,4,5,7,4,4,5,6,8,9,7,5,4,7,2,3,10,8,9,4,7,70,1,37,6,4,15,0
41727,es,600,,8,7,8,3,7,6,9,3,3,5,5,8,8,2,2,2,9,4,1,8,6,2,7,7,65,1,24,6,3,21,0
41864,es,20,,7,5,2,3,4,4,3,0,1,4,,5,7,5,4,2,7,2,1,5,4,4,6,6,0,2,61,,4,8,0
41872,es,20,480,7,8,5,3,7,7,6,5,3,6,6,3,4,7,6,1,6,2,4,6,7,0,7,7,65,1,47,,1,21,1
41899,es,0,60,5,5,0,4,0,0,5,0,0,0,0,,10,0,0,2,10,2,2,10,0,0,7,7,0,1,42,,3,11,1
41943,es,20,300,5,3,3,4,5,7,5,1,1,5,8,,9,6,6,1,9,1,1,9,9,7,4,4,65,1,15,6,1,11,0
41947,es,1080,420,6,5,7,4,6,8,8,5,5,7,8,6,10,0,4,3,10,2,2,8,8,7,5,1,,2,20,6,3,13,0
41977,es,60,60,2,2,2,4,3,3,7,1,1,3,3,,8,3,,1,7,3,2,9,9,5,4,7,85,2,41,1,4,20,1
42058,es,120,240,2,1,5,4,7,5,9,3,3,6,7,7,9,5,2,1,10,2,2,10,5,7,4,1,60,1,27,6,1,15,1
42161,es,5,600,6,7,1,1,0,0,8,0,0,0,6,10,9,0,0,2,10,2,1,9,5,9,3,1,67,2,32,6,4,22,1
42172,es,15,300,6,5,3,3,2,5,7,2,2,4,5,3,8,3,2,1,,3,2,5,5,0,7,7,0,2,41,1,4,10,0
42203,es,0,,5,2,4,4,,9,9,,0,,,,10,5,,8,4,2,2,10,,10,1,1,62,2,89,5,4,8,0
42227,es,0,360,5,,2,2,5,7,10,2,2,5,5,6,10,10,3,3,10,2,1,7,5,5,6,3,70,1,18,6,3,15,0
42282,es,30,120,7,3,0,1,5,5,5,0,0,5,5,3,5,3,0,3,5,2,2,7,7,5,5,1,60,1,70,,3,16,0
42289,es,0,,5,7,8,4,,6,7,5,5,,,3,8,,,8,8,8,4,10,,2,7,7,65,1,87,,3,5,0
42302,es,60,180,5,3,7,3,7,5,8,3,2,1,3,5,6,4,9,2,8,2,1,10,7,5,7,5,50,2,33,6,3,15,1
